against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,rank,wins
1822,256,258,0,2406,261,358,5,3,Essendon,132.05268935236,20,68,1,17
1852,262,244,0,2242,265,333,18,5,"Western Bulldogs",121.058315334773,20,60,2,15
1922,236,303,0,2265,281,327,3,6,Carlton,117.845993756504,20,56,3,14
1845,243,317,1,2381,267,344,10,6,Hawthorn,129.051490514905,20,54,4,13
2156,266,294,1,2160,315,311,12,7,"North Melbourne",100.185528756957,20,50,5,12
2055,261,278,0,2078,299,300,7,9,Geelong,101.119221411192,20,44,6,11
1990,262,246,0,2058,288,302,4,10,Collingwood,103.417085427136,20,40,7,10
2208,258,294,0,2088,325,299,19,13,Fitzroy,94.5652173913043,20,28,8,7
2420,296,265,0,2119,354,309,14,13,Richmond,87.5619834710744,20,28,9,7
2230,292,253,0,1777,323,254,11,14,Melbourne,79.6860986547085,20,24,10,6
2087,299,278,0,1976,298,283,16,15,Sydney,94.6813608049832,20,20,11,5
2687,341,242,0,1724,391,247,15,18,"St Kilda",64.1607740975065,20,8,12,2
